#_1_NUMBER_Running_object_number_,#_2_FLAGS_Extraction_flags_,#_3_ALPHAWIN_J2000_Windowed_right_ascension_(J2000)_[deg],#_4_DELTAWIN_J2000_windowed_declination_(J2000)_[deg],#_5_XWIN_IMAGE_Windowed_position_estimate_along_x_[pixel],#_6_YWIN_IMAGE_Windowed_position_estimate_along_y_[pixel],#_7_ERRAWIN_IMAGE_RMS_windowed_pos_error_along_major_axis_[pixel],#_8_ERRBWIN_IMAGE_RMS_windowed_pos_error_along_minor_axis_[pixel],#_9_ERRTHETAWIN_IMAGE_Windowed_error_ellipse_pos_angle_(CCW/x)_[deg],#_10_CLASS_STAR_S/G_classifier_output_,#_11_XMIN_IMAGE_Minimum_x-coordinate_among_detected_pixels_[pixel],#_12_YMIN_IMAGE_Minimum_y-coordinate_among_detected_pixels_[pixel],#_13_XMAX_IMAGE_Maximum_x-coordinate_among_detected_pixels_[pixel],#_14_YMAX_IMAGE_Maximum_y-coordinate_among_detected_pixels_[pixel],#_15_X_IMAGE_Object_position_along_x_[pixel],#_16_Y_IMAGE_Object_position_along_y_[pixel],#_17_X_IMAGE_DBL_Object_position_along_x_(double_precision)_[pixel],#_18_Y_IMAGE_DBL_Object_position_along_y_(double_precision)_[pixel],#_19_MAG_AUTO_Kron-like_elliptical_aperture_magnitude_[mag],#_20_MAGERR_AUTO_RMS_error_for_AUTO_magnitude_[mag],#_21_MAG_APER_Fixed_aperture_magnitude_vector_[mag],#_22_MAGERR_APER_RMS_error_vector_for_fixed_aperture_mag._[mag],#_23_ISOAREAF_IMAGE_Isophotal_area_(filtered)_above_Detection_threshold_[pixel**2],#_24_FLUX_ISO_Isophotal_flux_[count],#_25_FLUXERR_ISO_RMS_error_for_isophotal_flux_[count],#_26_MAG_ISO_Isophotal_magnitude_[mag],#_27_MAGERR_ISO_RMS_error_for_isophotal_magnitude_[mag],#_28_FLUX_ISOCOR_Corrected_isophotal_flux_[count],#_29_FLUXERR_ISOCOR_RMS_error_for_corrected_isophotal_flux_[count],#_30_MAG_ISOCOR_Corrected_isophotal_magnitude_[mag],#_31_MAGERR_ISOCOR_RMS_error_for_corrected_isophotal_magnitude_[mag],#_32_FLUX_AUTO_Flux_within_a_Kron-like_elliptical_aperture_[count],#_33_FLUXERR_AUTO_RMS_error_for_AUTO_flux_[count],#_34_MAG_BEST_Best_of_MAG_AUTO_and_MAG_ISOCOR_[mag],#_35_MAGERR_BEST_RMS_error_for_MAG_BEST_[mag],#_36_FLUX_APER_Flux_vector_within_fixed_circular_aperture(s)_[count],#_37_FLUXERR_APER_RMS_error_vector_for_aperture_flux(es)_[count],#_38_MU_THRESHOLD_Analysis_threshold_above_background_[mag_*_arcsec**(-2)],#_39_MU_MAX_Peak_surface_brightness_above_background_[mag_*_arcsec**(-2)],#_40_X2_IMAGE_Variance_along_x_[pixel**2],#_41_Y2_IMAGE_Variance_along_y_[pixel**2],#_42_XY_IMAGE_Covariance_between_x_and_y_[pixel**2],#_43_X2_WORLD_Variance_along_X-WORLD_(alpha)_[deg**2],#_44_Y2_WORLD_Variance_along_Y-WORLD_(delta)_[deg**2],#_45_XY_WORLD_Covariance_between_X-WORLD_and_Y-WORLD_[deg**2]
1,0,195.1264797,-4.9778360,1684.5979,50.9437,0.47055,0.39798,86.22,1.000,1676,42,1694,61,1684.6299,50.9688,1684.6299,50.9688,17.7091,0.2282,17.7276,0.2301,304,11.92134,2.504894,17.7092,0.2282,11.95836,2.504909,17.7058,0.2275,11.92226,2.504991,17.7091,0.2282,11.72046,2.483687,28.5049,21.4802,5.5621116149e+00,6.6339784515e+00,3.3229616768e-02,8.7744156458e-07,1.0463422108e-06,5.1694474386e-09
2,0,195.0302378,-4.9692042,1925.9932,29.1750,1.73587,1.60636,73.30,0.950,1921,24,1931,34,1926.0101,29.0548,1926.0101,29.0548,21.1613,1.1189,21.1939,1.1357,109,0.4836976,0.5045939,21.1886,1.1329,0.5033039,0.5052823,21.1454,1.0903,0.4960125,0.5110204,21.1613,1.1189,0.4813322,0.5033602,28.5049,24.0698,4.7870180403e+00,4.8794932603e+00,2.0727650164e-01,7.5517150722e-07,7.6961572385e-07,3.2685914137e-08
3,0,194.6050875,-4.9681778,2992.3980,26.8595,2.52312,2.20521,3.88,0.663,2988,23,2997,31,2992.3003,26.8434,2992.3002,26.8434,22.1545,1.7681,22.1657,1.7770,77,0.191749,0.3177215,22.1932,1.7995,0.2101691,0.3203739,22.0936,1.6555,0.1987013,0.3234948,22.1545,1.7681,0.1966565,0.3217799,28.5048,24.8095,4.1983813957e+00,3.9556587782e+00,6.5618397176e-02,6.6226375277e-07,6.2386926231e-07,1.0385171767e-08
4,0,195.5671492,-4.9678119,579.2243,26.3086,15.19978,14.28293,7.70,0.415,571,23,583,31,578.6556,26.9234,578.6556,26.9234,22.3368,1.9243,23.1330,2.7749,69,0.05829495,0.175229,23.4859,3.2644,0.1158388,0.2309214,22.7404,2.1649,0.1679886,0.2976561,22.3368,1.9243,0.08068822,0.2061706,28.5047,26.3944,1.0816638944e+01,4.0797923925e+00,2.0358625752e+00,1.7056969110e-06,6.4369862300e-07,3.2193020059e-07
5,0,195.2631113,-4.9657257,1341.8752,20.5592,1.21501,1.14656,59.85,0.970,1331,14,1348,27,1341.8169,20.5536,1341.8169,20.5536,20.0002,0.6554,20.0490,0.6703,184,1.418229,0.8640019,20.0206,0.6616,1.44604,0.8642454,19.9995,0.6491,1.445164,0.8721908,20.0002,0.6554,1.381631,0.8527677,28.5048,23.4340,6.1855392276e+00,5.9070105405e+00,-1.7206170662e-01,9.7576448609e-07,9.3164187939e-07,-2.7184818205e-08
6,0,194.2369441,-4.9650471,3915.9021,19.7625,5.45098,5.06404,36.93,0.382,3913,17,3919,23,3915.9670,19.9609,3915.9671,19.9609,23.4209,3.1690,23.4521,3.2148,37,0.04632592,0.1561882,23.7354,3.6615,0.06226698,0.169454,23.4144,2.9555,0.06189072,0.1806016,23.4209,3.1690,0.06013726,0.1780169,28.5046,26.4335,2.5009584574e+00,2.4909596887e+00,-1.0063283634e-03,3.9440405442e-07,3.9281675756e-07,-8.9074637785e-11
7,0,195.2362126,-4.9636487,1409.3438,15.3023,4.25980,4.01627,71.01,0.688,1406,11,1413,19,1409.3037,15.3051,1409.3037,15.3051,22.7940,2.3741,22.8448,2.4298,60,0.0996058,0.229008,22.9043,2.4969,0.1189503,0.2364209,22.7116,2.1585,0.1102517,0.2410171,22.7940,2.3741,0.1052157,0.235405,28.5048,26.1652,3.2275935665e+00,4.0139385706e+00,2.0687335660e-01,5.0913319531e-07,6.3309192534e-07,3.2544875928e-08
8,0,194.9107791,-4.9633321,2225.6293,14.3954,5.47360,5.39144,59.28,0.383,2223,12,2228,17,2225.5061,14.3097,2225.5061,14.3097,23.7240,3.6440,23.7856,3.7491,30,0.04288191,0.1502655,23.8193,3.8055,0.05403414,0.1583733,23.5683,3.1831,0.04681468,0.1570827,23.7240,3.6440,0.04423584,0.1527118,28.5049,26.8053,2.1656060732e+00,1.9455303197e+00,-1.0594297100e-03,3.4163262185e-07,3.0685488839e-07,-1.6556084909e-10
9,0,194.7970601,-4.9612490,2510.8727,9.2064,12.58182,11.15508,-43.91,0.348,2510,8,2512,10,2510.8325,9.1702,2510.8326,9.1702,24.0276,4.1902,23.9514,4.0472,6,0.006126344,0.05680184,25.9320,10.0691,0.009565061,0.06645152,25.4483,7.5448,0.03539574,0.1365709,24.0276,4.1902,0.03797046,0.1415035,28.5049,28.1024,4.6663159057e-01,4.6652410033e-01,-1.3615874855e-01,7.3604457156e-08,7.3586853302e-08,-2.1473790758e-08
10,0,195.0941518,-4.9676959,1765.6789,25.3957,4.47861,4.14417,69.70,0.535,1762,22,1769,29,1765.5771,25.4851,1765.5772,25.4851,22.9050,2.4986,22.9296,2.5266,58,0.08841586,0.215765,23.0337,2.6502,0.1086404,0.2251064,22.8100,2.2502,0.09954369,0.229025,22.9050,2.4986,0.09731247,0.2263975,28.5049,26.1511,3.6641560125e+00,3.4982151952e+00,3.2101383752e-03,5.7803351813e-07,5.5175035798e-07,4.9585237282e-10
