#_1_NUMBER_Running_object_number_,#_2_FLAGS_Extraction_flags_,#_3_ALPHAWIN_J2000_Windowed_right_ascension_(J2000)_[deg],#_4_DELTAWIN_J2000_windowed_declination_(J2000)_[deg],#_5_XWIN_IMAGE_Windowed_position_estimate_along_x_[pixel],#_6_YWIN_IMAGE_Windowed_position_estimate_along_y_[pixel],#_7_ERRAWIN_IMAGE_RMS_windowed_pos_error_along_major_axis_[pixel],#_8_ERRBWIN_IMAGE_RMS_windowed_pos_error_along_minor_axis_[pixel],#_9_ERRTHETAWIN_IMAGE_Windowed_error_ellipse_pos_angle_(CCW/x)_[deg],#_10_CLASS_STAR_S/G_classifier_output_,#_11_XMIN_IMAGE_Minimum_x-coordinate_among_detected_pixels_[pixel],#_12_YMIN_IMAGE_Minimum_y-coordinate_among_detected_pixels_[pixel],#_13_XMAX_IMAGE_Maximum_x-coordinate_among_detected_pixels_[pixel],#_14_YMAX_IMAGE_Maximum_y-coordinate_among_detected_pixels_[pixel],#_15_X_IMAGE_Object_position_along_x_[pixel],#_16_Y_IMAGE_Object_position_along_y_[pixel],#_17_X_IMAGE_DBL_Object_position_along_x_(double_precision)_[pixel],#_18_Y_IMAGE_DBL_Object_position_along_y_(double_precision)_[pixel],#_19_MAG_AUTO_Kron-like_elliptical_aperture_magnitude_[mag],#_20_MAGERR_AUTO_RMS_error_for_AUTO_magnitude_[mag],#_21_MAG_APER_Fixed_aperture_magnitude_vector_[mag],#_22_MAGERR_APER_RMS_error_vector_for_fixed_aperture_mag._[mag],#_23_ISOAREAF_IMAGE_Isophotal_area_(filtered)_above_Detection_threshold_[pixel**2],#_24_FLUX_ISO_Isophotal_flux_[count],#_25_FLUXERR_ISO_RMS_error_for_isophotal_flux_[count],#_26_MAG_ISO_Isophotal_magnitude_[mag],#_27_MAGERR_ISO_RMS_error_for_isophotal_magnitude_[mag],#_28_FLUX_ISOCOR_Corrected_isophotal_flux_[count],#_29_FLUXERR_ISOCOR_RMS_error_for_corrected_isophotal_flux_[count],#_30_MAG_ISOCOR_Corrected_isophotal_magnitude_[mag],#_31_MAGERR_ISOCOR_RMS_error_for_corrected_isophotal_magnitude_[mag],#_32_FLUX_AUTO_Flux_within_a_Kron-like_elliptical_aperture_[count],#_33_FLUXERR_AUTO_RMS_error_for_AUTO_flux_[count],#_34_MAG_BEST_Best_of_MAG_AUTO_and_MAG_ISOCOR_[mag],#_35_MAGERR_BEST_RMS_error_for_MAG_BEST_[mag],#_36_FLUX_APER_Flux_vector_within_fixed_circular_aperture(s)_[count],#_37_FLUXERR_APER_RMS_error_vector_for_aperture_flux(es)_[count],#_38_MU_THRESHOLD_Analysis_threshold_above_background_[mag_*_arcsec**(-2)],#_39_MU_MAX_Peak_surface_brightness_above_background_[mag_*_arcsec**(-2)],#_40_X2_IMAGE_Variance_along_x_[pixel**2],#_41_Y2_IMAGE_Variance_along_y_[pixel**2],#_42_XY_IMAGE_Covariance_between_x_and_y_[pixel**2],#_43_X2_WORLD_Variance_along_X-WORLD_(alpha)_[deg**2],#_44_Y2_WORLD_Variance_along_Y-WORLD_(delta)_[deg**2],#_45_XY_WORLD_Covariance_between_X-WORLD_and_Y-WORLD_[deg**2]
1,0,0.5578930,+0.7991223,635.9697,28.4977,14.04383,12.88325,-44.68,0.631,608,22,639,41,635.4604,28.7652,635.4605,28.7652,22.2970,1.8885,23.2911,2.9843,41,0.06100827,0.1792203,23.4365,3.1903,0.08600595,0.199026,23.0637,2.5131,0.1742564,0.3030174,22.2970,1.8885,0.06975365,0.191679,28.6740,25.8893,2.5110608970e+00,5.0373458389e+00,-1.6653231226e+00,3.9605678126e-07,7.9447136083e-07,-2.6270359861e-07
2,0,0.5640072,+0.8024858,620.5758,20.0259,12.19590,11.77494,29.32,0.470,619,18,622,22,620.9711,19.8190,620.9711,19.8190,23.4874,3.2669,23.5450,3.3547,13,0.01911414,0.1003162,24.6966,5.6996,0.02716929,0.1118631,24.3148,4.4713,0.05821615,0.1751241,23.4874,3.2669,0.0552102,0.1705474,28.6740,27.0251,7.7184622388e-01,1.0954504239e+00,4.6603211722e-03,1.2173866413e-07,1.7276155218e-07,7.1823243182e-10
3,0,0.5711966,+0.8001431,602.4748,25.9225,13.65178,11.71464,-62.15,0.463,601,22,604,48,602.7941,25.0701,602.7941,25.0701,23.9643,4.0702,23.7554,3.6965,24,0.02662355,0.1183994,24.3368,4.8296,0.05096514,0.1533594,23.6318,3.2679,0.0375213,0.1406242,23.9643,4.0702,0.04548076,0.1548083,28.6740,26.8898,9.7649314913e-01,2.3683073090e+00,-1.0528781960e+00,1.5401578154e-07,3.7352472492e-07,-1.6607697312e-07
4,0,0.7657343,+0.8036069,112.6625,17.1201,15.76329,13.24581,44.70,0.379,112,16,120,28,113.6404,17.1634,113.6404,17.1634,24.3037,4.7591,24.5198,5.2594,21,0.02698314,0.1191928,24.3223,4.7972,0.04294387,0.1408367,23.8177,3.5616,0.02744758,0.1202817,24.3037,4.7591,0.02249448,0.1089386,28.6739,27.5447,1.4662573458e+00,5.5924023419e-01,5.5824279224e-01,2.3122611695e-07,8.8173075923e-08,8.7989759507e-08
5,0,0.7806675,+0.8013184,75.0615,22.8761,12.11338,9.88179,-75.78,0.355,73,21,76,25,75.0066,22.9799,75.0066,22.9799,24.2870,4.7225,24.0350,4.2051,12,0.01585233,0.09135833,24.8998,6.2587,0.0245647,0.1064723,24.4242,4.7071,0.02787453,0.1212132,24.2870,4.7225,0.03515764,0.1361337,28.6739,27.0270,7.3261903587e-01,1.3301268581e+00,-2.4139053010e-01,1.1553115095e-07,2.0976096905e-07,-3.8088161730e-08
6,0,359.4424732,+0.8006204,3444.1082,24.7255,12.89488,12.69139,88.49,0.411,3442,22,3446,26,3444.2493,23.8165,3444.2494,23.8165,23.5428,3.3518,23.7156,3.6293,14,0.01886863,0.0996713,24.7106,5.7367,0.02871541,0.1150836,24.2547,4.3524,0.05532151,0.170741,23.5428,3.3518,0.04718013,0.1576706,28.6740,26.8901,1.1352349377e+00,1.3526214258e+00,6.2750669086e-01,1.7905463796e-07,2.1333391873e-07,9.8992730889e-08
7,0,0.1329299,+0.8029536,1705.8507,18.9404,6.82363,5.63294,4.60,0.600,1704,18,1707,20,1705.7966,18.9676,1705.7967,18.9676,24.7871,5.9436,24.9308,6.3589,10,0.01229167,0.08044756,25.1760,7.1077,0.02051014,0.09738945,24.6201,5.1567,0.01758647,0.09624873,24.7871,5.9436,0.01540504,0.09020139,28.6742,26.6805,7.8399003514e-01,4.9712486941e-01,7.5946607671e-03,1.2367662057e-07,7.8407833927e-08,1.1939489907e-09
8,0,0.7297902,+0.8024059,203.1664,20.1611,12.83876,11.47482,-24.84,0.591,202,19,205,21,203.2904,20.0429,203.2904,20.0429,24.0765,4.2857,23.9918,4.1223,10,0.01279855,0.0820889,25.1321,6.9655,0.02044995,0.09719355,24.6233,5.1615,0.0338378,0.1335345,24.0765,4.2857,0.03658209,0.1388602,28.6739,26.6734,8.3927073563e-01,5.2489970197e-01,6.0330892699e-03,1.3235583384e-07,8.2775485095e-08,9.2781890697e-10
9,0,359.4850113,+0.7981262,3337.0101,31.0199,11.76704,7.91194,-5.74,0.356,3335,30,3339,32,3337.1296,30.9623,3337.1296,30.9623,24.5081,5.2285,24.1069,4.3470,11,0.01680589,0.09406362,24.8363,6.0784,0.02328385,0.1035636,24.4824,4.8304,0.0227387,0.109474,24.5081,5.2285,0.03290283,0.1317029,28.6740,27.0678,1.4563226113e+00,5.3064027428e-01,-3.6859081164e-01,2.2970481452e-07,8.3680813064e-08,-5.8105530389e-08
10,0,0.7383936,+0.7967632,181.5040,34.3667,12.58413,11.90148,-4.59,0.451,179,33,183,36,181.3997,33.9808,181.3997,33.9808,23.8135,3.7973,24.0344,4.2041,14,0.01793426,0.09717304,24.7658,5.8843,0.02862965,0.1149988,24.2580,4.3622,0.04311204,0.1507454,23.8135,3.7973,0.03517468,0.1361666,28.6739,27.5526,1.6770479082e+00,7.8900262497e-01,3.1559199937e-01,2.6447478491e-07,1.2441543850e-07,4.9721595072e-08
